Zip,Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country
27241,50,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States
77306,28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States
99721,36,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States
43478,65,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States
47797,36,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States
4049,57,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,40,United-States
32774,49,Private,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,40,United-States
84888,45,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States
78569,49,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States
7935,56,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States
79268,31,Private,9th,Never-married,Craft-repair,Not-in-family,Other,Male,45,United-States
76174,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States
46141,27,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,40,United-States
20198,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States
63391,31,State-gov,Some-college,Never-married,Other-service,Own-child,White,Female,37,United-States
88353,45,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,45,China
16307,43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Black,Male,40,Jamaica
28266,35,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States
54399,41,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States
9663,28,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States
64264,54,Local-gov,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States
18186,43,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States
54708,23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States
70747,46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico
79101,33,Federal-gov,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,35,United-States
62307,25,Private,Some-college,Never-married,Sales,Own-child,White,Male,42,United-States
57059,29,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States
37851,32,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,United-States
1306,35,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,15,United-States
14988,23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,40,United-States
7976,49,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,44,United-States
97513,30,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,40,United-States
19766,50,Self-emp-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,Germany
629,44,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States
18327,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,10,Thailand
54136,28,Private,Assoc-voc,Never-married,Handlers-cleaners,Own-child,White,Female,40,United-States
6961,61,Self-emp-inc,Some-college,Widowed,Sales,Not-in-family,White,Female,20,United-States
56710,49,Private,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,South
7294,41,Self-emp-inc,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,40,United-States
62226,46,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,45,United-States
73975,18,Local-gov,12th,Never-married,Protective-serv,Own-child,White,Male,40,United-States
48898,49,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States
50900,33,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States
73336,57,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States
72982,35,State-gov,HS-grad,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States
